INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS,TUITION FEE,AFFILIATED
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,65785,115585,117211,117211,117533,118242,65785,115585,111058,115585,65785,115585,121647,121647,101145,125101,91193,115585,67000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,115003,115255,115003,115255,117178,117178,115003,115255,117211,117211,115003,115255,125582,125582,125285,125285,115003,115255,67000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CIV,CIVIL ENGINEERING,91905,108037,108037,108037,91905,108037,91905,108037,91905,108037,91905,108037,91905,108037,91905,108037,91905,108037,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,50679,55707,61789,62856,64414,67909,54981,55707,66782,71304,111372,111372,101881,101881,79219,79219,56347,56347,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",68426,82478,109486,116560,100693,100693,68426,82478,87153,107972,106151,114033,123976,125450,121510,121510,89644,89644,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,95573,95573,117899,117899,112629,115054,95573,95573,104911,107972,101414,101414,112550,125819,122429,122429,95573,95573,60000,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,CSE,COMPUTER SCIENCE AND ENGINEERING,36055,36055,62392,79674,49166,49166,75168,75168,45870,51124,51943,70441,84830,90554,49622,84202,46906,48523,45000,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,49374,54656,98799,105613,86836,86836,72772,72772,69278,86324,114472,114472,122710,123088,76420,122069,70955,70955,45000,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,MEC,MECHANICAL ENGINEERING,100161,116765,100161,116765,112862,116765,100161,116765,100161,116765,100161,116765,125150,125150,100161,119434,100161,116765,45000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CIV,CIVIL ENGINEERING,115558,115558,115558,115558,115558,115558,115558,115558,115558,115558,115558,115558,122114,124262,115558,125369,115558,115558,83000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CSE,COMPUTER SCIENCE AND ENGINEERING,45899,46323,82999,94112,57363,58611,70768,96879,56086,57563,91224,114826,102133,109776,79969,90105,53233,53233,83000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",57220,73445,116131,116131,84198,84198,57220,73445,71386,73445,102740,102740,124200,124696,119542,120559,68658,73445,83000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,99193,99193,117202,117202,114693,114693,99193,99193,99193,113714,99193,104537,124760,125393,122799,122799,99193,100630,83000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,85457,108123,114550,114550,118202,118202,85457,108123,102260,108123,85457,108123,85457,123673,113496,120762,85457,108123,83000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),73439,82442,106080,106080,90824,90824,73439,82442,80160,82442,90207,90207,123777,123819,116004,120232,75206,82442,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE AND ENGINEERING,52973,52973,95285,95443,66977,66977,52973,69257,61304,71003,92745,113595,111332,116653,84491,98545,67550,70168,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",66624,72303,105402,105402,100423,109854,66624,72303,84256,84329,98265,114922,126044,126044,119077,119077,82706,82706,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,107389,107389,109468,116782,117839,117839,107389,113777,107389,111007,117875,117875,122025,124671,124671,124895,107389,110740,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,96126,101273,107864,107864,117178,117178,96126,101273,106955,106955,96126,101273,98432,105823,96126,101273,96126,101273,70000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CIV,CIVIL ENGINEERING,72370,124318,121854,124724,123016,124810,72370,126050,123350,124318,72370,124318,118742,125366,119494,124652,72370,124318,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),57291,64947,118174,118174,79825,86878,57291,64947,72958,83677,106329,107997,116370,122742,81640,104736,68470,68470,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),50981,59189,94063,98909,69087,77897,50981,83328,70909,80172,104134,104134,113551,121547,78010,78010,62236,62335,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSE,COMPUTER SCIENCE AND ENGINEERING,44762,45270,64569,72587,53095,53095,98118,98118,51171,56144,64376,86542,79488,92425,60862,60862,51215,51215,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",57760,65575,85940,116580,75298,88021,57760,80092,69686,78978,92759,97036,112122,119804,67692,76760,64899,65575,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,80278,95151,101578,103071,96278,98117,80278,95151,85603,95151,93803,104581,119714,125160,85797,120077,88048,98561,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,MEC,MECHANICAL ENGINEERING,124606,124606,124606,124606,124606,124606,124606,124606,124606,124606,124606,124606,124606,124606,124606,126050,124606,124606,92000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CIV,CIVIL ENGINEERING,114575,114575,114575,124187,121720,121720,114575,114575,114575,114575,114575,114575,125318,125318,121739,125245,114575,114575,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),47849,53645,96434,98686,75941,77511,47849,53645,70907,78907,112562,116430,122215,122215,90136,102318,64138,71629,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),54770,56359,84362,117834,64347,71693,68087,68087,66843,68110,103761,103761,120306,121993,86080,93205,54770,58495,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,40932,43672,83970,85623,51025,52247,51517,52705,51231,52535,75394,89954,95597,106872,63274,71647,46995,46995,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",49943,55761,104463,111551,70744,74770,49943,55761,69309,69309,109097,109097,122923,123413,97565,122454,54879,55761,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,75939,87285,106441,114960,106782,116498,77035,102493,96184,103499,109436,115272,124337,125563,112419,124625,79650,93400,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,121838,121838,125487,125487,121838,121838,121838,121838,121838,121838,121838,121838,121838,122334,121838,121838,121838,121838,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,45710,45710,107032,109619,73187,73187,67764,67764,66218,82556,108725,111982,124852,124852,57872,119514,55926,55926,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,80078,117979,80078,117979,102874,117979,80078,117979,80078,117979,80078,117979,80078,117979,122974,122974,80078,117979,89000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CIV,CIVIL ENGINEERING,54370,87798,111225,111225,116434,116434,54370,87798,114717,115634,54370,87798,121952,121952,126138,126138,54370,87798,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,57264,57264,85020,89179,57264,58728,95709,95709,62208,62208,74185,74185,119501,119501,95170,95170,79088,79088,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",52402,52402,99037,99741,65884,65884,62835,62835,70183,70596,52402,85869,121355,121355,117722,117722,62515,91116,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),76689,90306,102424,111519,89885,93690,76689,90306,89416,90306,111892,111892,125957,125957,122096,122096,110423,110423,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,CSW,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),74754,74754,105496,105496,86452,103206,74754,86302,86262,86262,100332,103591,122188,123354,119843,119843,83879,99057,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,76894,79849,115974,115974,110001,110001,100312,100312,103794,103946,107945,107945,119615,119615,124690,124690,118450,118450,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,95394,102953,100429,102953,118036,118036,95394,102953,117108,117470,107969,114721,121855,121855,122627,122627,95394,102953,68000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CIV,CIVIL ENGINEERING,118414,118414,118414,118414,118414,118414,118414,118414,118414,118414,118414,118414,118414,118414,123284,123284,118414,118414,63000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CSE,COMPUTER SCIENCE AND ENGINEERING,59862,61147,94952,113519,83131,83131,59862,61147,86097,86097,59862,108550,111086,111086,59862,64298,100766,100766,63000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",104760,104760,108132,108132,118467,118467,104760,104760,107062,108870,117546,117546,123243,123243,104760,104760,104760,104760,63000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,103074,103074,122184,122184,125721,125721,125747,125747,125800,125800,103074,103074,123371,125510,121058,121058,103074,103074,63000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,115602,117504,115602,117504,115602,117504,115602,117504,115602,117504,115602,117504,125800,125800,121572,124624,115602,117504,63000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,CIV,CIVIL ENGINEERING,82039,82039,95895,102374,118190,118190,86444,86444,92114,92114,82039,94126,103235,106545,83012,83012,82039,82039,95000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,44833,44833,62546,62546,63549,63549,44833,44833,63948,63948,96038,96038,55019,55019,50210,50210,83638,83638,95000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,51483,56380,72129,92402,83664,83664,51483,74755,73016,73016,113352,113352,84724,86015,68056,68056,103692,103692,95000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,62362,62362,104037,107528,99202,99202,62362,62362,82950,82950,102114,102114,89755,89755,69618,69618,62362,80410,95000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,MEC,MECHANICAL ENGINEERING,81162,81162,81162,105848,108375,108375,81162,81162,103464,103464,81162,99790,110922,113073,86022,86022,81162,81162,95000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,MIN,MINING ENGINEERING,87845,87952,96043,117461,118649,118649,87845,87952,119213,119213,87845,119262,117485,117485,118619,118619,87845,87952,95000,JNTUH
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,11627,NA,25793,NA,16560,NA,70267,NA,16103,NA,28567,NA,39597,NA,36179,NA,12839,75000,JNTUH
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,33137,NA,78812,NA,41267,NA,50859,NA,51259,NA,54116,NA,113475,NA,83248,NA,35365,75000,JNTUH
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,47109,NA,110708,NA,84600,NA,76672,NA,72444,NA,86872,NA,125756,NA,118873,NA,63841,75000,JNTUH
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,1997,INF,INFORMATION TECHNOLOGY,NA,16443,NA,41684,NA,24238,NA,110788,NA,26312,NA,56519,NA,77695,NA,68557,NA,19736,75000,JNTUH
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,CIV,CIVIL ENGINEERING,117453,117453,117453,117453,122901,122901,117453,117453,117453,117453,117453,117453,117453,122901,126001,126001,117453,117453,72000,JNTUH
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),83507,86780,95466,106397,104437,111750,83507,86780,94202,100745,115521,115521,123471,125657,122146,122146,85047,86780,72000,JNTUH
